Giorno,Coronavirus
24-feb-2020,100
25-feb-2020,82
26-feb-2020,63
27-feb-2020,52
28-feb-2020,45
29-feb-2020,46
1-mar-2020,42
2-mar-2020,43
3-mar-2020,45
4-mar-2020,66
5-mar-2020,57
6-mar-2020,60
7-mar-2020,74
8-mar-2020,84
9-mar-2020,88
10-mar-2020,84
11-mar-2020,86
12-mar-2020,78
13-mar-2020,70
14-mar-2020,68
15-mar-2020,71
16-mar-2020,63
17-mar-2020,59
18-mar-2020,59
19-mar-2020,59
20-mar-2020,59
21-mar-2020,63
22-mar-2020,62
23-mar-2020,50
24-mar-2020,48
25-mar-2020,46
26-mar-2020,45
27-mar-2020,46
28-mar-2020,45
29-mar-2020,43
30-mar-2020,37
31-mar-2020,34
1-apr-2020,31
2-apr-2020,31
3-apr-2020,36
4-apr-2020,46
5-apr-2020,45
6-apr-2020,32
7-apr-2020,30
8-apr-2020,29
9-apr-2020,29
10-apr-2020,29
11-apr-2020,28
12-apr-2020,31
13-apr-2020,32
14-apr-2020,29
15-apr-2020,26
16-apr-2020,25
17-apr-2020,26
18-apr-2020,37
19-apr-2020,35
20-apr-2020,23
21-apr-2020,22
22-apr-2020,22
23-apr-2020,21
24-apr-2020,21
25-apr-2020,22
26-apr-2020,24
27-apr-2020,21
28-apr-2020,20
29-apr-2020,20
30-apr-2020,19
1-mag-2020,21
2-mag-2020,22
3-mag-2020,23
